 6.00000000e-05 -1.59887108e-03 1.50618246e-03 -6.25714422e-04 2.54056093e-03 -4.14315328e-04 5.43994389e-04
 4.50000000e-04 -1.63391959e-03 1.52263605e-03 -5.47939101e-04 2.56732896e-03 -4.20249799e-04 5.50010312e-04
 8.50000000e-04 -1.67019807e-03 1.53883714e-03 -4.72136452e-04 2.59354780e-03 -4.26157643e-04 5.55919432e-04
 1.25000000e-03 -1.70761004e-03 1.55480866e-03 -3.98196916e-04 2.61926479e-03 -4.32042765e-04 5.61730957e-04
 1.65000000e-03 -1.74606610e-03 1.57056272e-03 -3.26014199e-04 2.64450796e-03 -4.37905905e-04 5.67450320e-04
 2.05000000e-03 -1.78560244e-03 1.58610777e-03 -2.55646553e-04 2.66928905e-03 -4.43751248e-04 5.73079670e-04
 2.45000000e-03 -1.82612632e-03 1.60148348e-03 -1.86998937e-04 2.69368432e-03 -4.49588148e-04 5.78633850e-04
 2.85000000e-03 -1.86783388e-03 1.61663786e-03 -1.20308369e-04 2.71758769e-03 -4.55407460e-04 5.84091930e-04
 3.25000000e-03 -1.91107882e-03 1.63148888e-03 -5.60021827e-05 2.74082844e-03 -4.61196349e-04 5.89420179e-04
 3.65000000e-03 -1.95579629e-03 1.64604077e-03 5.99545827e-06 2.76341892e-03 -4.66953870e-04 5.94621035e-04
 4.05000000e-03 -2.00189343e-03 1.66029557e-03 6.57969237e-05 2.78536980e-03 -4.72677279e-04 5.99696700e-04
 4.44000000e-03 -2.04972054e-03 1.67418742e-03 1.22973091e-04 2.80653881e-03 -4.78358844e-04 6.04618904e-04
 4.84000000e-03 -2.09942407e-03 1.68769405e-03 1.77340747e-04 2.82687557e-03 -4.83997180e-04 6.09377462e-04
 5.24000000e-03 -2.15143994e-03 1.70072339e-03 2.28368470e-04 2.84618541e-03 -4.89579245e-04 6.13933935e-04
 5.64000000e-03 -2.20642780e-03 1.71314219e-03 2.75254833e-04 2.86418444e-03 -4.95087276e-04 6.18232181e-04
 6.04000000e-03 -2.26404225e-03 1.72501765e-03 3.18413024e-04 2.88101665e-03 -5.00530014e-04 6.22300528e-04
 6.44000000e-03 -2.32385148e-03 1.73642653e-03 3.58357650e-04 2.89684949e-03 -5.05915796e-04 6.26172222e-04
 6.84000000e-03 -2.38574668e-03 1.74739867e-03 3.95220308e-04 2.91174338e-03 -5.11250576e-04 6.29858715e-04
 7.24000000e-03 -2.44945599e-03 1.75800076e-03 4.29331538e-04 2.92583573e-03 -5.16546151e-04 6.33386493e-04
 7.64000000e-03 -2.51487919e-03 1.76823678e-03 4.60801983e-04 2.93914122e-03 -5.21799736e-04 6.36758919e-04
 8.04000000e-03 -2.58206215e-03 1.77808889e-03 4.89569445e-04 2.95162506e-03 -5.27007265e-04 6.39969307e-04
 8.43000000e-03 -2.65068756e-03 1.78760468e-03 5.16006714e-04 2.96339491e-03 -5.32171800e-04 6.43039355e-04
 8.83000000e-03 -2.72036468e-03 1.79683397e-03 5.40569476e-04 2.97456801e-03 -5.37293947e-04 6.45993165e-04
 9.23000000e-03 -2.79119832e-03 1.80577188e-03 5.63136009e-04 2.98512762e-03 -5.42376815e-04 6.48826626e-04
 9.63000000e-03 -2.86326452e-03 1.81442809e-03 5.83623518e-04 2.99508460e-03 -5.47427437e-04 6.51540710e-04
